User_ID,Age,Gender,Height_cm,Initial_Weight_kg,Initial_BMI,BMI_Category,Body_Fat_Category,Body_Fat_Percentage,Goal,Workout_Frequency,Average_Duration_Minutes,level,Badminton,Football,Basketball,Volleyball,Swim
67,23,Female,195,128,33.66,Obese,5.0,43.6,Weight Loss,5,90,Advanced,1,0,0,1,0
68,25,Female,159,114,45.09,Obese,5.0,58.7,Weight Loss,4,90,Advanced,1,0,0,0,0
69,40,Male,192,46,12.48,Underweight,1.0,4.2,Muscle Gain,4,45,Advanced,1,1,0,0,1
70,17,Male,183,113,33.74,Obese,4.0,29.7,Weight Loss,3,30,Intermediate,1,0,0,1,0
71,24,Male,175,78,25.47,Overweight,3.0,20.8,Maintain,4,45,Intermediate,0,0,0,0,0
72,40,Male,190,52,14.4,Underweight,1.0,7.3,Muscle Gain,3,60,Advanced,1,1,1,0,0
73,27,Male,198,70,17.86,Underweight,1.0,7.2,Muscle Gain,3,45,Beginner,1,0,1,0,0
74,33,Male,152,110,47.61,Obese,5.0,52.2,Weight Loss,4,60,Advanced,1,0,0,0,0
75,24,Female,155,102,42.46,Obese,5.0,55.7,Weight Loss,5,90,Advanced,1,0,0,1,0
76,49,Female,154,95,40.06,Obese,5.0,54.3,Weight Loss,2,30,Beginner,1,0,0,0,0
77,21,Female,154,81,34.15,Obese,5.0,39.1,Weight Loss,4,45,Intermediate,0,1,0,0,1
78,44,Female,196,100,26.03,Overweight,5.0,35.9,Weight Loss,4,45,Intermediate,1,0,0,0,0
79,23,Male,172,81,27.38,Overweight,3.0,20.6,Muscle Gain,2,45,Beginner,1,1,1,0,0
80,25,Male,198,95,24.23,Normal,2.0,16.9,Maintain,3,30,Intermediate,0,1,0,0,1
81,24,Female,158,75,30.04,Obese,5.0,34.6,Weight Loss,3,30,Beginner,0,0,0,0,0
82,28,Male,184,123,36.33,Obese,5.0,34.6,Weight Loss,2,90,Beginner,0,0,0,0,0
83,49,Female,169,107,37.46,Obese,5.0,52.4,Weight Loss,3,45,Beginner,1,0,1,0,0
84,39,Female,198,46,11.73,Underweight,2.0,13.7,Muscle Gain,3,45,Intermediate,0,0,1,0,0
85,40,Female,191,93,25.49,Overweight,5.0,31.1,Maintain,3,90,Beginner,0,0,0,0,0
86,38,Male,184,40,11.81,Underweight,1.0,5.4,Muscle Gain,4,60,Intermediate,0,0,0,1,0
87,43,Female,199,83,20.96,Normal,4.0,29.3,Maintain,4,30,Intermediate,1,0,1,0,0
88,17,Female,167,84,30.12,Obese,5.0,37.8,Weight Loss,5,60,Advanced,1,0,1,0,0
89,30,Female,166,86,31.21,Obese,5.0,37.6,Weight Loss,3,45,Advanced,1,0,0,0,0
90,19,Male,173,52,17.37,Underweight,1.0,7.6,Muscle Gain,4,60,Intermediate,1,1,0,0,1
91,17,Male,152,61,26.4,Overweight,3.0,23.0,Maintain,5,60,Advanced,1,0,0,1,0
92,21,Female,181,60,18.31,Underweight,3.0,21.4,Muscle Gain,4,60,Intermediate,1,0,0,0,0
93,42,Male,184,125,36.92,Obese,5.0,35.9,Weight Loss,3,45,Advanced,1,1,0,0,0
94,30,Male,187,48,13.73,Underweight,1.0,3.0,Muscle Gain,4,90,Intermediate,1,0,1,0,0
95,43,Male,162,65,24.77,Normal,3.0,21.8,Muscle Gain,3,30,Beginner,0,1,0,0,0
96,25,Male,196,48,12.49,Underweight,1.0,4.5,Muscle Gain,3,30,Intermediate,0,1,0,0,0
97,31,Male,174,54,17.84,Underweight,2.0,10.6,Muscle Gain,4,45,Intermediate,0,1,0,0,0
98,31,Male,158,49,19.63,Normal,2.0,12.9,Muscle Gain,4,30,Intermediate,0,0,0,0,0
99,42,Male,153,127,54.25,Obese,5.0,60.0,Weight Loss,2,45,Beginner,1,0,0,1,1
100,29,Male,163,81,30.49,Obese,4.0,28.6,Weight Loss,5,90,Advanced,1,1,1,1,1
101,48,Male,186,111,32.08,Obese,5.0,34.9,Weight Loss,4,90,Advanced,1,1,1,0,0
102,48,Male,183,63,18.81,Normal,2.0,13.8,Muscle Gain,3,45,Intermediate,1,0,0,0,1
103,20,Female,160,119,46.48,Obese,5.0,60.0,Weight Loss,5,45,Beginner,0,0,1,0,0
104,46,Female,190,88,24.38,Normal,5.0,35.0,Muscle Gain,3,45,Intermediate,1,1,0,0,1
105,39,Male,152,65,28.13,Overweight,4.0,24.2,Maintain,5,45,Advanced,0,0,0,1,0
106,31,Female,177,76,24.26,Normal,4.0,29.8,Maintain,4,30,Intermediate,1,0,0,0,1
107,45,Female,178,107,33.77,Obese,5.0,43.9,Weight Loss,2,90,Beginner,0,0,1,0,0
108,29,Male,158,89,35.65,Obese,5.0,36.6,Weight Loss,4,45,Intermediate,0,1,0,0,1
109,48,Male,152,63,27.27,Overweight,4.0,26.7,Muscle Gain,4,45,Intermediate,0,0,0,0,0
110,23,Male,174,58,19.16,Normal,2.0,11.8,Muscle Gain,4,30,Intermediate,0,0,1,0,0
111,38,Female,183,99,29.56,Overweight,5.0,40.0,Weight Loss,5,90,Advanced,1,0,0,0,0
112,44,Female,161,78,30.09,Obese,5.0,39.2,Weight Loss,4,60,Intermediate,0,0,0,0,0
113,18,Male,191,113,30.98,Obese,4.0,29.1,Weight Loss,4,90,Advanced,0,1,0,1,0
114,22,Male,158,128,51.27,Obese,5.0,55.6,Weight Loss,5,60,Advanced,1,0,0,0,0
115,44,Male,164,57,21.19,Normal,2.0,15.1,Muscle Gain,4,45,Advanced,0,1,0,0,1
116,44,Female,189,58,16.24,Underweight,3.0,21.8,Muscle Gain,3,45,Intermediate,1,0,0,0,0
117,36,Female,174,75,24.77,Normal,5.0,32.9,Muscle Gain,5,60,Advanced,0,0,0,0,0
118,46,Female,154,113,47.65,Obese,5.0,60.0,Weight Loss,3,45,Intermediate,1,0,0,0,1
119,27,Female,160,94,36.72,Obese,5.0,48.5,Weight Loss,4,60,Advanced,1,1,0,0,0
120,44,Male,183,108,32.25,Obese,5.0,35.0,Weight Loss,5,30,Beginner,0,1,0,0,0
121,41,Male,173,86,28.73,Overweight,4.0,25.8,Muscle Gain,4,30,Intermediate,0,1,0,0,0
122,49,Male,164,88,32.72,Obese,5.0,36.9,Weight Loss,4,60,Beginner,1,1,1,0,1
123,17,Male,187,72,20.59,Normal,1.0,9.8,Muscle Gain,4,60,Intermediate,1,0,1,0,0
124,43,Female,157,60,24.34,Normal,4.0,29.9,Muscle Gain,3,60,Intermediate,0,1,1,0,0
125,29,Female,154,120,50.6,Obese,5.0,60.0,Weight Loss,5,30,Advanced,1,0,1,0,1
126,19,Male,197,61,15.72,Underweight,1.0,7.9,Muscle Gain,3,60,Beginner,1,0,1,0,1
127,22,Male,175,87,28.41,Overweight,4.0,24.6,Weight Loss,2,30,Beginner,0,0,0,0,1
128,24,Female,167,76,27.25,Overweight,5.0,30.6,Maintain,3,30,Advanced,0,0,0,0,0
129,43,Male,155,54,22.48,Normal,3.0,18.4,Maintain,4,45,Intermediate,0,0,0,1,1
130,25,Female,186,74,21.39,Normal,4.0,25.4,Muscle Gain,4,30,Intermediate,0,0,1,0,1
131,49,Male,197,110,28.34,Overweight,4.0,25.4,Maintain,5,45,Advanced,1,1,0,0,0
132,40,Male,162,71,27.05,Overweight,4.0,27.0,Muscle Gain,3,45,Advanced,0,1,0,0,0
133,31,Male,177,50,15.96,Underweight,1.0,9.6,Muscle Gain,3,45,Beginner,1,0,0,0,0
134,48,Male,154,49,20.66,Normal,2.0,17.1,Muscle Gain,2,30,Advanced,1,0,0,0,0
135,48,Male,162,112,42.68,Obese,5.0,50.5,Weight Loss,3,30,Intermediate,0,1,0,0,0
136,40,Male,166,117,42.46,Obese,5.0,45.6,Weight Loss,4,30,Advanced,1,0,0,0,0
137,28,Male,199,116,29.29,Overweight,4.0,28.8,Weight Loss,2,30,Advanced,1,1,1,1,1
138,18,Female,189,96,26.87,Overweight,5.0,32.2,Weight Loss,3,60,Intermediate,0,0,0,1,0
139,19,Female,194,64,17.0,Underweight,3.0,18.5,Muscle Gain,3,45,Beginner,0,0,0,0,1
140,33,Female,181,41,12.51,Underweight,2.0,11.7,Muscle Gain,2,45,Beginner,1,0,1,0,0
141,18,Female,178,103,32.51,Obese,5.0,41.4,Weight Loss,3,45,Intermediate,1,0,0,0,0
142,18,Female,152,74,32.03,Obese,5.0,38.0,Weight Loss,2,60,Beginner,1,0,0,0,1
143,44,Male,189,46,12.88,Underweight,1.0,3.6,Muscle Gain,4,90,Intermediate,0,0,0,0,0
144,39,Male,183,124,37.03,Obese,5.0,35.4,Weight Loss,5,60,Advanced,0,1,0,0,1
145,48,Female,189,57,15.96,Underweight,3.0,21.2,Muscle Gain,4,60,Beginner,0,1,0,0,0
146,49,Male,176,106,34.22,Obese,5.0,36.2,Weight Loss,5,45,Beginner,1,0,0,0,0
147,17,Female,162,81,30.86,Obese,5.0,37.9,Weight Loss,3,60,Intermediate,1,0,0,0,0
148,35,Female,194,78,20.72,Normal,4.0,27.7,Muscle Gain,4,60,Beginner,1,0,1,1,1
149,18,Male,182,80,24.15,Normal,2.0,14.6,Muscle Gain,5,45,Advanced,1,0,0,0,0
150,42,Male,155,114,47.45,Obese,5.0,54.7,Weight Loss,3,45,Intermediate,1,1,0,0,1
151,48,Male,173,63,21.05,Normal,2.0,15.7,Muscle Gain,5,45,Advanced,0,1,0,0,0
152,22,Female,168,99,35.08,Obese,5.0,45.4,Weight Loss,2,90,Advanced,1,0,0,0,1
153,48,Male,165,85,31.22,Obese,5.0,33.7,Weight Loss,3,60,Intermediate,0,1,0,0,0
154,20,Female,189,58,16.24,Underweight,2.0,17.0,Muscle Gain,2,60,Beginner,1,1,0,0,1
155,27,Female,177,107,34.15,Obese,5.0,44.0,Weight Loss,4,45,Intermediate,0,0,0,0,0
156,33,Female,182,129,38.94,Obese,5.0,49.3,Weight Loss,4,45,Intermediate,1,0,1,0,0
157,40,Male,197,81,20.87,Normal,2.0,15.9,Muscle Gain,4,30,Advanced,1,1,0,0,1
158,21,Male,190,71,19.67,Normal,2.0,13.3,Muscle Gain,3,30,Advanced,0,0,0,1,0
159,22,Female,162,78,29.72,Overweight,5.0,35.6,Weight Loss,3,90,Intermediate,1,0,1,0,0
160,38,Male,192,75,20.35,Normal,2.0,14.2,Muscle Gain,2,60,Beginner,1,0,0,0,0
161,27,Male,194,75,19.93,Normal,2.0,12.6,Muscle Gain,3,45,Intermediate,0,0,1,0,1
162,32,Male,174,42,13.87,Underweight,1.0,7.0,Muscle Gain,5,90,Beginner,0,0,0,1,0
163,49,Female,191,112,30.7,Obese,5.0,40.5,Weight Loss,3,45,Advanced,0,0,0,0,0
164,25,Female,185,47,13.73,Underweight,2.0,12.1,Muscle Gain,5,90,Advanced,0,0,1,0,0
165,22,Male,176,109,35.19,Obese,5.0,34.4,Weight Loss,5,45,Advanced,0,1,0,1,0
166,32,Female,187,80,22.88,Normal,4.0,29.9,Muscle Gain,3,45,Intermediate,0,0,0,0,0
167,45,Male,156,107,43.97,Obese,5.0,46.6,Weight Loss,4,45,Intermediate,1,0,0,0,0
168,19,Male,154,52,21.93,Normal,2.0,12.6,Muscle Gain,2,30,Beginner,0,0,0,0,0
169,36,Male,192,88,23.87,Normal,2.0,17.5,Maintain,2,30,Beginner,1,0,0,0,0
170,35,Male,194,99,26.3,Overweight,3.0,21.9,Maintain,2,60,Beginner,1,0,0,0,0
171,42,Female,180,41,12.65,Underweight,2.0,15.0,Muscle Gain,4,90,Intermediate,0,0,0,0,0
172,19,Female,172,99,33.46,Obese,5.0,42.0,Weight Loss,3,60,Intermediate,0,0,0,0,0
173,35,Female,191,44,12.06,Underweight,2.0,14.3,Muscle Gain,4,30,Advanced,1,0,0,0,0
174,36,Male,159,83,32.83,Obese,5.0,32.8,Weight Loss,4,60,Beginner,1,0,0,0,0
175,48,Male,181,66,20.15,Normal,2.0,15.5,Muscle Gain,3,30,Intermediate,0,0,1,0,0
176,23,Male,192,71,19.26,Normal,2.0,13.2,Muscle Gain,4,30,Intermediate,1,0,0,0,0
177,49,Female,179,60,18.73,Normal,4.0,24.7,Muscle Gain,4,60,Intermediate,0,0,0,1,0
178,34,Male,188,47,13.3,Underweight,1.0,7.5,Muscle Gain,2,60,Intermediate,1,0,0,0,0
179,17,Female,180,111,34.26,Obese,5.0,42.1,Weight Loss,3,30,Intermediate,1,0,0,1,1
180,27,Female,167,89,31.91,Obese,5.0,37.4,Weight Loss,4,30,Intermediate,0,0,1,0,0
181,44,Female,185,106,30.97,Obese,5.0,42.1,Weight Loss,3,90,Advanced,1,0,0,0,0
182,41,Female,151,83,36.4,Obese,5.0,47.1,Weight Loss,4,30,Intermediate,1,0,1,0,0
183,39,Female,163,97,36.51,Obese,5.0,49.1,Weight Loss,3,45,Intermediate,1,1,0,1,0
184,47,Female,162,42,16.0,Underweight,3.0,18.2,Muscle Gain,3,60,Intermediate,0,0,0,0,1
185,46,Male,178,125,39.45,Obese,5.0,40.9,Weight Loss,2,30,Beginner,1,0,0,0,0
186,23,Male,161,109,42.05,Obese,5.0,44.9,Weight Loss,3,30,Intermediate,0,0,1,0,0
187,32,Female,188,41,11.6,Underweight,2.0,10.6,Muscle Gain,4,45,Beginner,0,0,0,0,1
188,42,Female,151,126,55.26,Obese,5.0,60.0,Weight Loss,3,60,Intermediate,1,0,1,0,0
189,18,Male,181,83,25.34,Overweight,2.0,17.4,Maintain,4,60,Intermediate,0,0,0,0,0
190,17,Female,162,41,15.62,Underweight,2.0,16.3,Muscle Gain,5,60,Intermediate,1,1,0,0,1
191,28,Female,195,120,31.56,Obese,5.0,40.5,Weight Loss,4,90,Intermediate,0,0,0,0,0
192,21,Male,176,74,23.89,Normal,2.0,17.3,Muscle Gain,4,60,Advanced,1,1,0,0,0
193,48,Female,198,126,32.14,Obese,5.0,42.2,Weight Loss,3,45,Beginner,0,0,0,0,0
194,25,Female,190,69,19.11,Normal,3.0,19.8,Muscle Gain,3,45,Intermediate,1,0,0,0,1
195,35,Female,166,47,17.06,Underweight,2.0,17.5,Muscle Gain,4,60,Intermediate,1,0,0,0,0
196,32,Male,189,61,17.08,Underweight,1.0,8.3,Muscle Gain,3,60,Intermediate,0,1,0,0,1
197,19,Male,180,83,25.62,Overweight,3.0,20.2,Muscle Gain,4,60,Intermediate,1,0,0,0,0
198,36,Male,183,97,28.96,Overweight,4.0,29.3,Weight Loss,2,60,Beginner,1,0,0,1,0
199,40,Female,173,75,25.06,Overweight,5.0,34.5,Maintain,4,30,Intermediate,1,0,1,0,0
200,49,Female,194,108,28.7,Overweight,5.0,40.3,Weight Loss,5,45,Advanced,1,0,0,0,0
201,40,Male,184,116,34.26,Obese,5.0,36.4,Weight Loss,5,45,Advanced,0,0,0,0,1
202,27,Female,197,70,18.04,Underweight,3.0,21.4,Muscle Gain,4,30,Intermediate,1,0,1,0,1
203,24,Female,155,86,35.8,Obese,5.0,43.2,Weight Loss,4,30,Advanced,1,0,0,0,1
204,36,Female,168,94,33.3,Obese,5.0,45.5,Weight Loss,4,60,Intermediate,0,0,1,0,0
205,41,Female,179,119,37.14,Obese,5.0,50.2,Weight Loss,4,60,Intermediate,0,0,0,0,0
206,41,Female,156,101,41.5,Obese,5.0,55.6,Weight Loss,2,45,Beginner,1,1,0,0,0
207,45,Male,159,69,27.29,Overweight,3.0,23.5,Maintain,3,45,Intermediate,1,0,0,1,0
208,34,Female,190,94,26.04,Overweight,5.0,32.3,Maintain,3,45,Beginner,1,0,0,0,1
209,34,Male,181,55,16.79,Underweight,1.0,9.2,Muscle Gain,5,30,Advanced,0,1,1,0,1
210,18,Female,183,51,15.23,Underweight,2.0,17.2,Muscle Gain,3,60,Intermediate,1,0,0,0,1
211,32,Male,177,56,17.87,Underweight,2.0,10.9,Muscle Gain,4,60,Intermediate,0,0,0,0,1
212,49,Female,164,55,20.45,Normal,4.0,26.5,Maintain,4,60,Intermediate,0,0,0,0,0
213,20,Male,179,51,15.92,Underweight,1.0,8.8,Muscle Gain,4,60,Intermediate,1,0,0,1,0
214,49,Female,186,47,13.59,Underweight,2.0,15.4,Muscle Gain,4,60,Advanced,1,0,0,0,0
215,30,Male,178,123,38.82,Obese,5.0,39.0,Weight Loss,3,30,Intermediate,1,1,0,0,0
216,37,Female,171,42,14.36,Underweight,2.0,14.1,Muscle Gain,4,45,Advanced,1,0,0,1,0
217,36,Male,153,55,23.5,Normal,3.0,20.5,Muscle Gain,5,30,Intermediate,0,0,0,0,0
218,24,Female,169,69,24.16,Normal,5.0,30.9,Muscle Gain,3,90,Intermediate,0,0,0,1,1
219,23,Male,181,62,18.92,Normal,1.0,9.3,Muscle Gain,3,30,Advanced,0,0,0,1,0
220,19,Male,185,44,12.86,Underweight,1.0,3.7,Muscle Gain,4,30,Intermediate,0,1,0,0,0
221,33,Female,199,123,31.06,Obese,5.0,38.2,Weight Loss,5,90,Advanced,1,0,0,0,1
222,49,Female,153,104,44.43,Obese,5.0,60.0,Weight Loss,2,90,Beginner,0,1,0,0,0
223,28,Male,176,69,22.28,Normal,2.0,17.6,Muscle Gain,4,60,Beginner,1,0,0,0,0
224,38,Female,166,60,21.77,Normal,4.0,29.2,Maintain,5,30,Advanced,0,0,1,0,0
225,38,Male,161,123,47.45,Obese,5.0,49.8,Weight Loss,3,30,Beginner,0,0,0,0,0
226,46,Male,171,109,37.28,Obese,5.0,42.6,Weight Loss,5,45,Advanced,0,1,0,0,1
227,24,Male,166,61,22.14,Normal,2.0,16.6,Maintain,4,30,Advanced,0,0,0,0,0
228,43,Female,159,121,47.86,Obese,5.0,60.0,Weight Loss,4,30,Beginner,1,0,0,0,0
229,43,Male,150,111,49.33,Obese,5.0,58.1,Weight Loss,4,45,Intermediate,1,1,0,0,0
230,37,Male,171,71,24.28,Normal,3.0,19.0,Muscle Gain,2,90,Beginner,0,0,1,1,0
231,46,Female,175,72,23.51,Normal,5.0,33.3,Muscle Gain,3,45,Intermediate,0,0,0,0,0
232,49,Female,167,55,19.72,Normal,3.0,23.9,Muscle Gain,3,60,Beginner,0,0,0,0,1
233,44,Female,199,115,29.04,Overweight,5.0,39.6,Weight Loss,3,60,Intermediate,1,0,1,1,0
234,49,Female,163,77,28.98,Overweight,5.0,39.4,Weight Loss,3,45,Intermediate,1,0,1,0,0
235,21,Male,196,53,13.8,Underweight,1.0,3.0,Muscle Gain,5,60,Advanced,0,1,0,1,0
236,35,Male,178,75,23.67,Normal,2.0,17.6,Maintain,5,45,Advanced,0,1,0,1,0
237,20,Male,161,62,23.92,Normal,2.0,14.2,Muscle Gain,4,30,Intermediate,0,0,0,0,0
238,33,Male,185,105,30.68,Obese,4.0,28.4,Weight Loss,5,60,Advanced,1,0,1,1,0
239,44,Female,184,124,36.63,Obese,5.0,47.8,Weight Loss,4,30,Intermediate,0,0,0,0,1
240,46,Male,161,41,15.82,Underweight,2.0,10.6,Muscle Gain,3,90,Intermediate,1,1,1,0,0
241,45,Male,156,112,46.02,Obese,5.0,50.6,Weight Loss,3,30,Intermediate,0,0,0,0,0
242,22,Female,178,104,32.82,Obese,5.0,38.9,Weight Loss,4,60,Intermediate,1,0,0,1,1
243,40,Male,160,114,44.53,Obese,5.0,50.4,Weight Loss,4,45,Advanced,0,1,0,0,0
244,45,Male,182,106,32.0,Obese,4.0,29.6,Weight Loss,3,30,Intermediate,1,1,1,1,0
245,47,Male,155,91,37.88,Obese,5.0,43.3,Weight Loss,4,30,Intermediate,0,0,0,0,0
246,49,Male,196,101,26.29,Overweight,4.0,27.2,Weight Loss,2,60,Intermediate,1,0,0,0,0
247,37,Male,164,62,23.05,Normal,3.0,19.6,Maintain,4,90,Advanced,1,0,0,0,0
248,48,Male,181,65,19.84,Normal,2.0,16.5,Muscle Gain,5,90,Advanced,0,1,0,0,0
249,39,Female,160,107,41.8,Obese,5.0,57.7,Weight Loss,4,45,Intermediate,0,0,0,1,1
250,49,Female,172,121,40.9,Obese,5.0,53.8,Weight Loss,5,60,Advanced,0,0,0,0,0
251,19,Male,175,94,30.69,Obese,3.0,23.8,Weight Loss,5,60,Beginner,0,1,0,0,0
252,34,Male,183,45,13.44,Underweight,1.0,3.2,Muscle Gain,5,60,Advanced,1,0,0,0,0
253,41,Female,195,74,19.46,Normal,4.0,26.4,Muscle Gain,5,45,Beginner,1,1,0,0,0
254,47,Male,183,61,18.21,Underweight,2.0,10.7,Muscle Gain,5,60,Advanced,0,1,1,0,1
